1. **SDET Engineer, Query** | QA Automation | 📍 Dublin, Partially Remote | 📅 vor 19 Stunden | 🔗 https://www.stepstone.de/stellenangebote--SDET-Engineer-Query-Dublin-MongoDB-Inc--13734750-inline.html  
12. **Pflichtpraktikum Quality Assurance (m/w/d)** | Manual QA | 📍 Berlin | 📅 vor 1 Woche | 🔗 https://www.stepstone.de/stellenangebote--Pflichtpraktikum-Quality-Assurance-m-w-d-Berlin-montamo-GmbH--13637754-inline.html  
13. **IT-Qualitätssicherung / QA Engineer (m/w/d) - Schwerpunkt Webanwendungen** | Hybrid QA | 📍 Hannover, Partially Remote | 📅 vor 3 Tagen | 🔗 https://www.stepstone.de/stellenangebote--IT-Qualitaetssicherung-QA-Engineer-m-w-d-Schwerpunkt-Webanwendungen-Hannover-fb-research-GmbH--13720009-inline.html  
14. **QA Spezialist - Softwaretests / API Testing / UI / Testdesign (m/w/d)** | Hybrid QA | 📍 Wiesbaden, Partially Remote | 📅 vor 13 Stunden | 🔗 https://www.stepstone.de/stellenangebote--QA-Spezialist-Softwaretests-API-Testing-UI-Testdesign-m-w-d-Wiesbaden-SOLIT-Group-AG--13640984-inline.html  
15. **Senior Project Manager (m/w/d) – Web, Marketing Automation & Data** | QA Automation Adjacent | 📍 Viernheim, Partially Remote | 📅 vor 3 Tagen | 🔗 https://www.stepstone.de/stellenangebote--Senior-Project-Manager-m-w-d-Web-Marketing-Automation-Data-Viernheim-Wob-AG--13398676-inline.html  
16. **Prozessentwicklungsingenieur - Schwerpunkt Laserprozesse (m/w/d)** | Hybrid QA | 📍 Prüm | 📅 vor 1 Tag | 🔗 https://www.stepstone.de/stellenangebote--Prozessentwicklungsingenieur-Schwerpunkt-Laserprozesse-m-w-d-Pruem-Tesla-Automation-GmbH--13673586-inline.html  
17. **Prozessentwicklungsingenieur - Schwerpunkt Laserprozesse (m/w/d)** | Hybrid QA | 📍 Reutlingen | 📅 vor 1 Tag | 🔗 https://www.stepstone.de/stellenangebote--Prozessentwicklungsingenieur-Schwerpunkt-Laserprozesse-m-w-d-Reutlingen-Tesla-Automation-GmbH--13673589-inline.html  
18. **Sovereign Cloud Expert DevOps Engineer (f/m/d) - SAP SuccessFactors (HCM)** | QA Automation Adjacent | 📍 St. Leon-Rot, Germany | 📅 vor 1 Tag | 🔗 https://www.stepstone.de/stellenangebote--Sovereign-Cloud-Expert-DevOps-Engineer-f-m-d-SAP-SuccessFactors-HCM-St-Leon-Rot-DE-68789-SAP-SE--13157235-inline.html  
19. **Mobile Developer Digital Health (m/w/d)** | Hybrid QA Adjacent | 📍 Berlin | 📅 vor 1 Woche | 🔗 https://www.stepstone.de/stellenangebote--Mobile-Developer-Digital-Health-m-w-d-Berlin-MEDIAN-Unternehmensgruppe-B-V-Co-KG--13702252-inline.html  
20. **Frontend Developer (m/w/d) – Angular / UX / Accessibility** | QA Automation Adjacent | 📍 Nürnberg Mittelfranken | 📅 vor 1 Woche | 🔗 https://www.stepstone.de/stellenangebote--Frontend-Developer-m-w-d-Angular-UX-Accessibility-Nuernberg-Mittelfranken-Tantive-GmbH--13327462-inline.html  
21. **Embedded Software Entwickler / Senior Firmware Engineer (m/w/d)** | Hybrid QA Adjacent | 📍 Unterföhring bei München, Partially Remote | 📅 vor 22 Minuten | 🔗 https://www.stepstone.de/stellenangebote--Embedded-Software-Entwickler-Senior-Firmware-Engineer-m-w-d-Unterfoehring-bei-Muenchen-SimonsVoss-Technologies-GmbH--13544652-inline.html  
22. **Director (m/w/d) E-Compliance/ IT Governance** | QA Automation Adjacent | 📍 München | 📅 vor 4 Tagen | 🔗 https://www.stepstone.de/stellenangebote--Director-m-w-d-E-Compliance-IT-Governance-Muenchen-Daiichi-Sankyo-Europe-GmbH--13661374-inline.html  
23. **Test Automation Engineer (m/w/d) - Schwerpunkt KI Testing** | QA Automation | 📍 München, Germany, Partially Remote | 📅 vor 5 Tagen | 🔗 https://www.stepstone.de/stellenangebote--Test-Automation-Engineer-m-w-d-Schwerpunkt-KI-Testing-Muenchen-Deutschland-SPIRIT-TESTING-Software-Services-GmbH--13659138-inline.html  
24. **Senior Manager - Workforce Management** | QA Automation Adjacent | 📍 Dublin, Partially Remote | 📅 vor 15 Stunden | 🔗 https://www.stepstone.de/stellenangebote--Senior-Manager-Workforce-Management-Dublin-Autodesk-GmbH--13734582-inline.html
